,File Name,Fashion Sentence,adjectives,nouns,noun_adj_map,suprisal
137,00000013.txt,"thar aint no style to 'em.
",[],['style'],[],7.5288563016664325
138,00000013.txt,"them rooms to the springs, now, they've got style to 'em.  ",[],"['springs', 'style']",[],7.521326901211658
139,00000013.txt,"an' style--whar thar's young folks, thet's what's
wanted--style.","['young', 'wanted']","['style', 'folks', 'thet', 'style']",[{'folks': ['young']}],9.008126548949088
140,00000013.txt,"""we kin hev it
as soon as not--'n' seems ter me thar's a heap o' style to 'em.",[],"['ter', 'heap', 'o', 'style']",[],9.277719673135591
141,00000013.txt,"""oh, father!""

""look at 'em, louisianny,"" he persisted, gently, ""an' see if they suit
ye.  ",[],"['father', 'louisianny', 'see']",[],7.278836866939926
142,00000013.txt,"thar was a young woman thar as was dressed
purtier than any of 'em.  ","['young', 'thar', 'purtier']",['woman'],[{'woman': ['young']}],8.146644124928573
143,00000013.txt,"she hed on a dress that took my fancy.
",[],"['dress', 'fancy']",[],8.325719340312963
144,00000013.txt,"an' she laughed some, an' said it was
velvet, an' she'd got it to some store in new york city.  ",[],"['velvet', 'store']",[],7.261937851666146
145,00000013.txt,"an' i asked
her if she'd write it down; i'd a little gal at home i wanted a dress
off'n it fer--an' then, someways, we warmed up, an' i ses to her, 'she
aint like me.  ",['little'],"['gal', 'home', 'dress', ""off'n"", 'fer', 'someways']",[{'gal': ['little']}],7.854242661584642
146,00000013.txt,"she looked at the rolls of silk and the laces and feminine extras with
a bewildered feeling.

",['bewildered'],"['rolls', 'silk', 'laces', 'feminine', 'extras', 'feeling']",[{'feeling': ['bewildered']}],7.710427329280145
147,00000013.txt,"do they suit ye, louisianny?""

""i should be very hard to please if they didn't,"" she answered.  ",['hard'],['louisianny'],[],6.54601122437686
148,00000013.txt,"""

""only maybe?"" said the girl, ""only maybe, father?""

she dropped the roll of silk she had been holding and went to him.  ",[],"['girl', 'father', 'roll', 'silk']",[],5.553898002032292
149,00000013.txt,"she held the
dress materials up to her waist and neck to see how the colors became
her; she tried on laces and sacques and furbelows and the hats which
were said to have come from paris.

",[],"['dress', 'materials', 'waist', 'neck', 'colors', 'laces', 'sacques', 'furbelows', 'hats']",[],7.3062763549197856
150,00000013.txt,"""

when she reached a box of long kid gloves at the bottom, she burst into
such a shrill laugh that her father was startled.  ","['long', 'kid', 'shrill']","['box', 'gloves', 'bottom', 'laugh', 'father']","[{'gloves': ['long'], 'laugh': ['shrill']}, {'gloves': ['long'], 'laugh': ['shrill']}]",6.834226629998789
151,00000013.txt,"i can wear them with the cream-colored silk
and cashmere at--at a festival!""

when she had looked at everything, the rag carpet was strewn with her
riches,--with fashionable dress materials, with rich and delicate
colors, with a hundred feminine and pretty whims.

","['fashionable', 'rich', 'delicate', 'feminine', 'pretty']","['cream', 'silk', 'cashmere', 'festival', 'rag', 'carpet', 'dress', 'materials', 'colors', 'whims']","[{'silk': ['colored'], 'materials': ['fashionable'], 'colors': ['rich'], 'whims': ['feminine']}, {'silk': ['colored'], 'materials': ['fashionable'], 'colors': ['rich'], 'whims': ['feminine']}, {'silk': ['colored'], 'materials': ['fashionable'], 'colors': ['rich'], 'whims': ['feminine']}, {'silk': ['colored'], 'materials': ['fashionable'], 'colors': ['rich'], 'whims': ['feminine']}]",7.57159192661403
152,00000013.txt,"a-lookin' at it from yere, now,"" with a wide sweep of his
hand toward the improvements, ""ye kin see how much style thar is to it.
seems to me thet the--the mountains now, they look better.  ","['wide', 'much', 'better']","['lookin', 'yere', 'sweep', 'hand', 'improvements', 'style', 'thar', 'thet', 'mountains']","[{'sweep': ['wide'], 'style': ['much']}, {'sweep': ['wide'], 'style': ['much']}]",7.7468257375087495
153,00000013.txt,"ianthy,
fer instants--ianthy she wouldn't sca'cely know it was home--thar's so
much style to it.","['ianthy', 'much']","['instants', 'home', 'style']","[{'instants': ['ianthy'], 'style': ['much']}, {'instants': ['ianthy'], 'style': ['much']}]",10.135684707980662
154,00000013.txt,"she looked white and slender in her black dress;
her hands were folded palm to palm under her check, and her eyes were
wide open.

","['white', 'slender', 'black', 'open']","['dress', 'hands', 'palm', 'palm', 'check', 'eyes']",[{'dress': ['black']}],6.331495200163869
155,00000013.txt,"""

louisiana removed her hat and cloak and gave them to mrs. nance.  ",[],['hat'],[],5.731684723396419
156,00000013.txt,"his heart beat fast, too, and it beat faster still when he noted her
black dress and saw how pale and slight she looked in it.  ","['black', 'pale', 'slight']","['heart', 'dress']",[{'dress': ['black']}],6.589229088677477
157,00000015.txt,"and that one
behind in the fawn-skin leggings and shirt of birds' skins is an indian
queen.",['indian'],"['fawn', 'skin', 'leggings', 'shirt', 'birds', 'skins', 'queen']",[{'queen': ['indian']}],7.7098515313650555
158,00000015.txt,"there were the forts, the military bakery, the
hospitals, the plaza, the almonaster stores, and the busy rue toulouse;
and, for the rest of the town, a pleasant confusion of green tree-tops,
red and gray roofs, and glimpses of white or yellow wall, spreading back
a few hundred yards behind the cathedral, and tapering into a single
rank of gardened and belvedered villas, that studded either horn of the
river's crescent with a style of home than which there is probably
nothing in the world more maternally homelike.

","['military', 'busy', 'pleasant', 'green', 'red', 'gray', 'white', 'yellow', 'few', 'cathedral', 'single', 'homelike']","['forts', 'bakery', 'hospitals', 'plaza', 'almonaster', 'stores', 'rue', 'toulouse', 'rest', 'town', 'confusion', 'tree', 'tops', 'roofs', 'glimpses', 'wall', 'yards', 'rank', 'villas', 'horn', 'river', 'crescent', 'style', 'home', 'world']","[{'bakery': ['military'], 'toulouse': ['busy'], 'confusion': ['pleasant'], 'tops': ['green'], 'roofs': ['red'], 'wall': ['white'], 'rank': ['single']}, {'bakery': ['military'], 'toulouse': ['busy'], 'confusion': ['pleasant'], 'tops': ['green'], 'roofs': ['red'], 'wall': ['white'], 'rank': ['single']}, {'bakery': ['military'], 'toulouse': ['busy'], 'confusion': ['pleasant'], 'tops': ['green'], 'roofs': ['red'], 'wall': ['white'], 'rank': ['single']}, {'bakery': ['military'], 'toulouse': ['busy'], 'confusion': ['pleasant'], 'tops': ['green'], 'roofs': ['red'], 'wall': ['white'], 'rank': ['single']}, {'bakery': ['military'], 'toulouse': ['busy'], 'confusion': ['pleasant'], 'tops': ['green'], 'roofs': ['red'], 'wall': ['white'], 'rank': ['single']}, {'bakery': ['military'], 'toulouse': ['busy'], 'confusion': ['pleasant'], 'tops': ['green'], 'roofs': ['red'], 'wall': ['white'], 'rank': ['single']}, {'bakery': ['military'], 'toulouse': ['busy'], 'confusion': ['pleasant'], 'tops': ['green'], 'roofs': ['red'], 'wall': ['white'], 'rank': ['single']}]",6.375053590113194
159,00000015.txt,"he seemed to awake somewhere between heaven and earth,
reclining in a gorgeous barge, which was draped in curtains of
interwoven silver and silk, cushioned with rich stuffs of every
beautiful dye, and perfumed _ad nauseam_ with orange-leaf tea.","['gorgeous', 'rich', 'beautiful', 'orange']","['earth', 'barge', 'curtains', 'silver', 'silk', 'stuffs', 'dye', 'ad', 'nauseam', '_', 'leaf', 'tea']","[{'barge': ['gorgeous'], 'silver': ['interwoven'], 'stuffs': ['rich'], 'dye': ['beautiful'], 'leaf': ['orange']}, {'barge': ['gorgeous'], 'silver': ['interwoven'], 'stuffs': ['rich'], 'dye': ['beautiful'], 'leaf': ['orange']}, {'barge': ['gorgeous'], 'silver': ['interwoven'], 'stuffs': ['rich'], 'dye': ['beautiful'], 'leaf': ['orange']}, {'barge': ['gorgeous'], 'silver': ['interwoven'], 'stuffs': ['rich'], 'dye': ['beautiful'], 'leaf': ['orange']}, {'barge': ['gorgeous'], 'silver': ['interwoven'], 'stuffs': ['rich'], 'dye': ['beautiful'], 'leaf': ['orange']}]",6.618195782596999
160,00000015.txt,"i saw that same old man, at a quadroon ball a
few years ago, walk up to the handsomest, best dressed man in the
house, a man with a skin whiter than his own,--a perfect gentleman as to
looks and manners,--and without a word slap him in the face.","['same', 'old', 'few', 'handsomest', 'perfect']","['man', 'quadroon', 'ball', 'years', 'man', 'house', 'man', 'skin', 'whiter', 'gentleman', 'manners,--and', 'word', 'face']","[{'man': ['dressed'], 'years': ['few'], 'gentleman': ['perfect']}, {'man': ['dressed'], 'years': ['few'], 'gentleman': ['perfect']}, {'man': ['dressed'], 'years': ['few'], 'gentleman': ['perfect']}, {'man': ['dressed'], 'years': ['few'], 'gentleman': ['perfect']}]",6.006839422546524
161,00000015.txt,"by and by the behavior of the horse indicated the near presence of a
stranger; and the next moment the rider drew rein under an immense
live-oak where there was a bit of paling about some graves, and
raised his hat.

","['near', 'next', 'immense', 'live']","['behavior', 'horse', 'presence', 'stranger', 'moment', 'rider', 'rein', 'oak', 'bit', 'graves', 'hat']","[{'presence': ['near'], 'moment': ['next'], 'oak': ['immense']}, {'presence': ['near'], 'moment': ['next'], 'oak': ['immense']}, {'presence': ['near'], 'moment': ['next'], 'oak': ['immense']}]",7.24373589582943
162,00000015.txt,"he stooped quickly to pick up his hat, and,
as he rose again and looked into his listener's face, the respectful,
unobtrusive sympathy there expressed went directly to his heart.

","['respectful', 'unobtrusive']","['hat', 'listener', 'face', 'sympathy', 'heart']","[{'sympathy': ['respectful', 'unobtrusive']}]",6.399329973178385
163,00000015.txt,"he found nothing then, but next
morning came upon a small, single-story building in the rue
royale,--corner of conti,--which he thought would suit his plans.","['next', 'small', 'single']","['morning', 'story', 'building', 'rue', 'plans']","[{'morning': ['next'], 'story': ['single'], 'building': ['small']}, {'morning': ['next'], 'story': ['single'], 'building': ['small']}, {'morning': ['next'], 'story': ['single'], 'building': ['small']}]",7.125021775383661
164,00000015.txt,"a strong,
clear, olive complexion; features that were faultless (unless a
woman-like delicacy, that was yet not effeminate, was a fault); hair _en
queue_, the handsomer for its premature streakings of gray; a tall, well
knit form, attired in cloth, linen and leather of the utmost fineness;
manners castilian, with a gravity almost oriental,--made him one of
those rare masculine figures which, on the public promenade, men look
back at and ladies inquire about.

","['strong', 'clear', 'olive', 'faultless', 'like', 'premature', 'gray', 'tall', 'utmost', 'fineness', 'rare', 'public']","['complexion', 'features', 'woman', 'delicacy', 'fault', 'hair', 'queue', '_', 'handsomer', 'streakings', 'form', 'cloth', 'linen', 'leather', 'manners', 'castilian', 'gravity', 'masculine', 'figures', 'promenade', 'men', 'ladies']","[{'complexion': ['strong', 'clear', 'olive'], 'delicacy': ['like'], 'streakings': ['premature'], 'form': ['tall', 'knit'], 'figures': ['rare'], 'promenade': ['public']}, {'complexion': ['strong', 'clear', 'olive'], 'delicacy': ['like'], 'streakings': ['premature'], 'form': ['tall', 'knit'], 'figures': ['rare'], 'promenade': ['public']}, {'complexion': ['strong', 'clear', 'olive'], 'delicacy': ['like'], 'streakings': ['premature'], 'form': ['tall', 'knit'], 'figures': ['rare'], 'promenade': ['public']}, {'complexion': ['strong', 'clear', 'olive'], 'delicacy': ['like'], 'streakings': ['premature'], 'form': ['tall', 'knit'], 'figures': ['rare'], 'promenade': ['public']}, {'complexion': ['strong', 'clear', 'olive'], 'delicacy': ['like'], 'streakings': ['premature'], 'form': ['tall', 'knit'], 'figures': ['rare'], 'promenade': ['public']}, {'complexion': ['strong', 'clear', 'olive'], 'delicacy': ['like'], 'streakings': ['premature'], 'form': ['tall', 'knit'], 'figures': ['rare'], 'promenade': ['public']}]",7.547944312120394
165,00000015.txt,"that is one style of men governor
claiborne is going to have on his hands.",[],"['style', 'men', 'governor', 'claiborne', 'hands']",[],7.987898634737372
166,00000015.txt,"in his dress, which
was noticeably soiled, the fashions of three decades were hinted at; he
seemed to have donned whatever he thought his friends would most have
liked him to leave off.

",[],"['dress', 'fashions', 'decades', 'friends']",[],6.80387306798271
167,00000015.txt,"""

he presented a small, leather-covered case, evidently containing some
optical instrument.","['small', 'optical']","['leather', 'case', 'instrument']","[{'case': ['small', 'covered'], 'instrument': ['optical']}, {'case': ['small', 'covered'], 'instrument': ['optical']}]",7.680791966814069
168,00000015.txt,"""_per_ z.f.""

there was a short french postscript on the opposite page signed only by
m. zenon francois, explaining that he, who had allowed them in the past
to address him as their landlord and by his name, was but the landlord's
agent; that the landlord was a far better-dressed man than he could
afford to be; that the writing opposite was a notice for them to quit
the premises they had rented (not leased), or pay up; that it gave the
writer great pain to send it, although it was but the necessary legal
form and he only an irresponsible drawer of an inadequate salary, with
thirteen children to support; and that he implored them to tear off and
burn up this postscript immediately they had read it.

","['short', 'french', 'opposite', 'great', 'necessary', 'legal', 'irresponsible', 'inadequate']","['_', 'postscript', 'page', 'past', 'landlord', 'name', 'landlord', 'agent', 'landlord', 'man', 'writing', 'opposite', 'notice', 'premises', 'writer', 'pain', 'form', 'drawer', 'salary', 'children', 'postscript']","[{'postscript': ['short', 'french'], 'page': ['opposite'], 'man': ['dressed'], 'pain': ['great'], 'form': ['necessary', 'legal'], 'drawer': ['irresponsible'], 'salary': ['inadequate']}, {'postscript': ['short', 'french'], 'page': ['opposite'], 'man': ['dressed'], 'pain': ['great'], 'form': ['necessary', 'legal'], 'drawer': ['irresponsible'], 'salary': ['inadequate']}, {'postscript': ['short', 'french'], 'page': ['opposite'], 'man': ['dressed'], 'pain': ['great'], 'form': ['necessary', 'legal'], 'drawer': ['irresponsible'], 'salary': ['inadequate']}, {'postscript': ['short', 'french'], 'page': ['opposite'], 'man': ['dressed'], 'pain': ['great'], 'form': ['necessary', 'legal'], 'drawer': ['irresponsible'], 'salary': ['inadequate']}, {'postscript': ['short', 'french'], 'page': ['opposite'], 'man': ['dressed'], 'pain': ['great'], 'form': ['necessary', 'legal'], 'drawer': ['irresponsible'], 'salary': ['inadequate']}, {'postscript': ['short', 'french'], 'page': ['opposite'], 'man': ['dressed'], 'pain': ['great'], 'form': ['necessary', 'legal'], 'drawer': ['irresponsible'], 'salary': ['inadequate']}, {'postscript': ['short', 'french'], 'page': ['opposite'], 'man': ['dressed'], 'pain': ['great'], 'form': ['necessary', 'legal'], 'drawer': ['irresponsible'], 'salary': ['inadequate']}]",6.9776188849821645
169,00000015.txt,"she began to make great show of unfastening
her dress.

",['great'],"['show', 'dress']",[{'show': ['great']}],8.628155647369436
170,00000015.txt,"well, then!""

the daughter proposed to go to the kitchen and tell alphonsina to put on
her shoes.

",[],"['daughter', 'kitchen', 'alphonsina', 'shoes']",[],7.795299391619733
171,00000015.txt,"on it were, here and there in places, white mats woven of bleached
palmetto-leaf.","['white', 'bleached']","['places', 'mats', 'palmetto', 'leaf']","[{'mats': ['white'], 'leaf': ['bleached']}, {'mats': ['white'], 'leaf': ['bleached']}]",7.8727741361804116
172,00000015.txt,"a dwarf congo woman, as black as
soot, had ushered her in, and, having barred the door, had disappeared,
and now the mistress of the house entered.

february though it was, she was dressed--and looked comfortable--in
white.","['black', 'comfortable', 'white']","['dwarf', 'woman', 'soot', 'door', 'mistress', 'house']",[],7.093094228146886
173,00000015.txt,"and joseph, tormented
into this course, put on his hat and went out.

",[],"['course', 'hat']",[],7.453058043986365
174,00000015.txt,"the
little that seems lacking is woman's care, the brush of attentive
fingers here and there, the turning of a fold in the high-collared coat,
and a mere touch on the neckerchief and shirt-frill.","['little', 'attentive', 'collared', 'mere']","['woman', 'care', 'brush', 'fingers', 'turning', 'fold', 'coat', 'touch', 'neckerchief', 'shirt', 'frill']","[{'fingers': ['attentive'], 'coat': ['collared'], 'touch': ['mere']}, {'fingers': ['attentive'], 'coat': ['collared'], 'touch': ['mere']}, {'fingers': ['attentive'], 'coat': ['collared'], 'touch': ['mere']}]",7.0751839548860325
175,00000015.txt,"another, his cousin,
charlie mandarin, a tall, very slender, bronzed gentleman in a flannel
hunting-shirt and buckskin leggings, is walking, in moccasins, with a
sweet lady in whose tasteful attire feminine scrutiny, but such only,
might detect economy, but whose marked beauty of yesterday is retreating
and reappearing in the flock of children who are noisily running round
and round them, nominally in the care of three fat and venerable black
nurses.","['tall', 'slender', 'bronzed', 'sweet', 'tasteful', 'feminine', 'such', 'marked', 'round', 'fat', 'venerable', 'black']","['cousin', 'gentleman', 'flannel', 'hunting', 'shirt', 'buckskin', 'leggings', 'moccasins', 'lady', 'attire', 'scrutiny', 'economy', 'beauty', 'yesterday', 'flock', 'children', 'care', 'nurses']","[{'gentleman': ['slender', 'bronzed'], 'lady': ['sweet'], 'scrutiny': ['tasteful', 'feminine'], 'beauty': ['marked'], 'nurses': ['fat', 'black']}, {'gentleman': ['slender', 'bronzed'], 'lady': ['sweet'], 'scrutiny': ['tasteful', 'feminine'], 'beauty': ['marked'], 'nurses': ['fat', 'black']}, {'gentleman': ['slender', 'bronzed'], 'lady': ['sweet'], 'scrutiny': ['tasteful', 'feminine'], 'beauty': ['marked'], 'nurses': ['fat', 'black']}, {'gentleman': ['slender', 'bronzed'], 'lady': ['sweet'], 'scrutiny': ['tasteful', 'feminine'], 'beauty': ['marked'], 'nurses': ['fat', 'black']}, {'gentleman': ['slender', 'bronzed'], 'lady': ['sweet'], 'scrutiny': ['tasteful', 'feminine'], 'beauty': ['marked'], 'nurses': ['fat', 'black']}]",6.633573783306547
176,00000015.txt,"the other, a man of perhaps
thirty-three or thirty-four years of age, was extremely handsome and
well dressed, the martial fashion of the day showing his tall and finely
knit figure to much advantage.","['other', 'handsome', 'martial', 'tall', 'much']","['man', 'years', 'age', 'fashion', 'day', 'figure', 'advantage']","[{'fashion': ['martial'], 'figure': ['tall'], 'advantage': ['much']}, {'fashion': ['martial'], 'figure': ['tall'], 'advantage': ['much']}, {'fashion': ['martial'], 'figure': ['tall'], 'advantage': ['much']}]",6.505278853346513
177,00000015.txt,"as they seemed about to pass the spot
where he sat, m. grandissime interrupted the governor with a word and,
turning his horse's head, rode up to the bench, lifting his hat as
he came.

",[],"['spot', 'm.', 'governor', 'word', 'horse', 'head', 'bench', 'hat']",[],7.326341914761251
178,00000015.txt,"""

m. grandissime lifted his hat and turned.",[],"['m.', 'hat']",[],8.472351748438594
179,00000015.txt,"frowenfeld saw within
the carriage two men, one in citizen's dress, the other in a brilliant
uniform.","['other', 'brilliant']","['frowenfeld', 'carriage', 'men', 'citizen', 'dress', 'uniform']","[{'men': ['carriage'], 'uniform': ['brilliant']}, {'men': ['carriage'], 'uniform': ['brilliant']}]",7.347051377647547
180,00000015.txt,"the immigrant glanced at
citizen fusilier, expecting to see the greeting returned with great
haughtiness; instead of which that person uncovered his leonine head,
and, with a solemn sweep of his cocked hat, bowed half his length.","['great', 'leonine', 'solemn', 'cocked']","['immigrant', 'citizen', 'fusilier', 'greeting', 'haughtiness', 'person', 'head', 'sweep', 'hat', 'length']","[{'haughtiness': ['great'], 'head': ['leonine'], 'sweep': ['solemn'], 'hat': ['cocked']}, {'haughtiness': ['great'], 'head': ['leonine'], 'sweep': ['solemn'], 'hat': ['cocked']}, {'haughtiness': ['great'], 'head': ['leonine'], 'sweep': ['solemn'], 'hat': ['cocked']}, {'haughtiness': ['great'], 'head': ['leonine'], 'sweep': ['solemn'], 'hat': ['cocked']}]",7.192888193205936
181,00000015.txt,"she said piteously, and laughed in her sleeve.

who could hope to catch and reproduce the continuous lively thrill which
traversed the frame of the escaped book-worm as every moment there was
repeated to his consciousness the knowledge that he was walking across
the vault of heaven with the evening star on his arm--at least, that he
was, at her instigation, killing time along the dim, ill-lighted
_trottoirs_ of the rue chartres, with aurora listening sympathetically
at his side.","['continuous', 'lively', 'least']","['sleeve', 'thrill', 'frame', 'book', 'worm', 'moment', 'consciousness', 'knowledge', 'vault', 'evening', 'star', 'arm', 'instigation', 'time', '_', 'trottoirs', 'rue', 'chartres', 'aurora', 'side']","[{'thrill': ['continuous', 'lively'], 'worm': ['escaped'], '_': ['lighted']}, {'thrill': ['continuous', 'lively'], 'worm': ['escaped'], '_': ['lighted']}, {'thrill': ['continuous', 'lively'], 'worm': ['escaped'], '_': ['lighted']}]",7.10982676421463
182,00000015.txt,"but therein
is where your true creole was, and still continues to be, properly, yea,
delightfully un-american; the outside of his house may be as rough as
the outside of a bird's nest; it is the inside that is for the birds;
and the front room of this house, when the daughter presently threw open
the batten shutters of its single street door, looked as bright and
happy, with its candelabra glittering on the mantel, and its curtains of
snowy lace, as its bright-eyed tenants.

","['true', 'yea', 'un', '-', 'rough', 'front', 'open', 'batten', 'single', 'bright', 'happy', 'snowy', 'bright', 'eyed']","['creole', 'outside', 'house', 'outside', 'bird', 'nest', 'inside', 'birds', 'room', 'house', 'daughter', 'shutters', 'street', 'door', 'candelabra', 'mantel', 'curtains', 'lace', 'tenants']","[{'creole': ['true'], 'room': ['front'], 'shutters': ['open', 'batten'], 'door': ['single'], 'lace': ['snowy'], 'tenants': ['eyed']}, {'creole': ['true'], 'room': ['front'], 'shutters': ['open', 'batten'], 'door': ['single'], 'lace': ['snowy'], 'tenants': ['eyed']}, {'creole': ['true'], 'room': ['front'], 'shutters': ['open', 'batten'], 'door': ['single'], 'lace': ['snowy'], 'tenants': ['eyed']}, {'creole': ['true'], 'room': ['front'], 'shutters': ['open', 'batten'], 'door': ['single'], 'lace': ['snowy'], 'tenants': ['eyed']}, {'creole': ['true'], 'room': ['front'], 'shutters': ['open', 'batten'], 'door': ['single'], 'lace': ['snowy'], 'tenants': ['eyed']}, {'creole': ['true'], 'room': ['front'], 'shutters': ['open', 'batten'], 'door': ['single'], 'lace': ['snowy'], 'tenants': ['eyed']}]",6.030836505786714
183,00000015.txt,"""

""i am _not_ an old man, sir!""

""i said _young_ man.""

""i am not a _young_ man, sir!""

""i wonder who the fellow was,"" continued doctor keene, as he readjusted
the ripped sleeve.

","['old', 'young', '_', 'young']","['man', 'sir', 'man', '_', 'man', 'sir', 'fellow', 'doctor', 'keene', 'sleeve']","[{'man': ['_', 'young'], 'keene': ['continued'], 'sleeve': ['ripped']}, {'man': ['_', 'young'], 'keene': ['continued'], 'sleeve': ['ripped']}, {'man': ['_', 'young'], 'keene': ['continued'], 'sleeve': ['ripped']}, {'man': ['_', 'young'], 'keene': ['continued'], 'sleeve': ['ripped']}, {'man': ['_', 'young'], 'keene': ['continued'], 'sleeve': ['ripped']}]",5.091134652327284
184,00000015.txt,"achille touched his hat, bowed and waved his hand to joseph,
and shook hands with the doctor, and saying, ""well, good-night.",['good'],"['hat', 'hand', 'hands', 'doctor', 'night']",[{'night': ['good']}],6.184626831841254
185,00000015.txt,"the human life which dotted the view displayed a
variety of tints and costumes such as a painter would be glad to take
just as he found them: the gayly feathered indian, the slashed and
tinselled mexican, the leather-breeched raftsmen, the blue-or
yellow-turbaned _negresse_, the sugar-planter in white flannel and
moccasins, the average townsman in the last suit of clothes of the
lately deceased century, and now and then a fashionable man in that
costume whose union of tight-buttoned martial severity, swathed throat,
and effeminate superabundance of fine linen seemed to offer a sort of
state's evidence against the pompous tyrannies and frivolities of
the times.

","['human', 'such', 'glad', 'slashed', 'blue', 'white', 'average', 'last', 'deceased', 'fashionable', 'tight', 'martial', 'fine', 'pompous']","['life', 'view', 'variety', 'tints', 'costumes', 'painter', 'leather', 'raftsmen', '_', 'negresse', '_', 'sugar', 'planter', 'flannel', 'moccasins', 'townsman', 'suit', 'clothes', 'century', 'man', 'costume', 'union', 'severity', 'throat', 'superabundance', 'linen', 'sort', 'state', 'evidence', 'tyrannies', 'frivolities', 'times']","[{'life': ['human'], 'raftsmen': ['breeched'], 'negresse': ['turbaned'], '_': ['blue'], 'flannel': ['white'], 'townsman': ['average'], 'suit': ['last'], 'century': ['deceased'], 'man': ['fashionable'], 'severity': ['buttoned', 'martial'], 'linen': ['fine'], 'tyrannies': ['pompous']}, {'life': ['human'], 'raftsmen': ['breeched'], 'negresse': ['turbaned'], '_': ['blue'], 'flannel': ['white'], 'townsman': ['average'], 'suit': ['last'], 'century': ['deceased'], 'man': ['fashionable'], 'severity': ['buttoned', 'martial'], 'linen': ['fine'], 'tyrannies': ['pompous']}, {'life': ['human'], 'raftsmen': ['breeched'], 'negresse': ['turbaned'], '_': ['blue'], 'flannel': ['white'], 'townsman': ['average'], 'suit': ['last'], 'century': ['deceased'], 'man': ['fashionable'], 'severity': ['buttoned', 'martial'], 'linen': ['fine'], 'tyrannies': ['pompous']}, {'life': ['human'], 'raftsmen': ['breeched'], 'negresse': ['turbaned'], '_': ['blue'], 'flannel': ['white'], 'townsman': ['average'], 'suit': ['last'], 'century': ['deceased'], 'man': ['fashionable'], 'severity': ['buttoned', 'martial'], 'linen': ['fine'], 'tyrannies': ['pompous']}, {'life': ['human'], 'raftsmen': ['breeched'], 'negresse': ['turbaned'], '_': ['blue'], 'flannel': ['white'], 'townsman': ['average'], 'suit': ['last'], 'century': ['deceased'], 'man': ['fashionable'], 'severity': ['buttoned', 'martial'], 'linen': ['fine'], 'tyrannies': ['pompous']}, {'life': ['human'], 'raftsmen': ['breeched'], 'negresse': ['turbaned'], '_': ['blue'], 'flannel': ['white'], 'townsman': ['average'], 'suit': ['last'], 'century': ['deceased'], 'man': ['fashionable'], 'severity': ['buttoned', 'martial'], 'linen': ['fine'], 'tyrannies': ['pompous']}, {'life': ['human'], 'raftsmen': ['breeched'], 'negresse': ['turbaned'], '_': ['blue'], 'flannel': ['white'], 'townsman': ['average'], 'suit': ['last'], 'century': ['deceased'], 'man': ['fashionable'], 'severity': ['buttoned', 'martial'], 'linen': ['fine'], 'tyrannies': ['pompous']}, {'life': ['human'], 'raftsmen': ['breeched'], 'negresse': ['turbaned'], '_': ['blue'], 'flannel': ['white'], 'townsman': ['average'], 'suit': ['last'], 'century': ['deceased'], 'man': ['fashionable'], 'severity': ['buttoned', 'martial'], 'linen': ['fine'], 'tyrannies': ['pompous']}, {'life': ['human'], 'raftsmen': ['breeched'], 'negresse': ['turbaned'], '_': ['blue'], 'flannel': ['white'], 'townsman': ['average'], 'suit': ['last'], 'century': ['deceased'], 'man': ['fashionable'], 'severity': ['buttoned', 'martial'], 'linen': ['fine'], 'tyrannies': ['pompous']}, {'life': ['human'], 'raftsmen': ['breeched'], 'negresse': ['turbaned'], '_': ['blue'], 'flannel': ['white'], 'townsman': ['average'], 'suit': ['last'], 'century': ['deceased'], 'man': ['fashionable'], 'severity': ['buttoned', 'martial'], 'linen': ['fine'], 'tyrannies': ['pompous']}, {'life': ['human'], 'raftsmen': ['breeched'], 'negresse': ['turbaned'], '_': ['blue'], 'flannel': ['white'], 'townsman': ['average'], 'suit': ['last'], 'century': ['deceased'], 'man': ['fashionable'], 'severity': ['buttoned', 'martial'], 'linen': ['fine'], 'tyrannies': ['pompous']}, {'life': ['human'], 'raftsmen': ['breeched'], 'negresse': ['turbaned'], '_': ['blue'], 'flannel': ['white'], 'townsman': ['average'], 'suit': ['last'], 'century': ['deceased'], 'man': ['fashionable'], 'severity': ['buttoned', 'martial'], 'linen': ['fine'], 'tyrannies': ['pompous']}]",6.50014551518356
186,00000015.txt,"dejection and hope struggled with each other in the gaze that was
returned; but when joseph said, with a countenance full of pity, ""i have
no power to help you,"" the disappointed lover merely looked fixedly for
a moment in the direction of the street, then lifted his hat toward his
head, bowed, and departed.




chapter xix

art and commerce


it was some two or three days after the interview just related that the
apothecary of the rue royale found it necessary to ask a friend to sit
in the shop a few minutes while he should go on a short errand.","['other', 'full', 'disappointed', 'necessary', 'few', 'short']","['dejection', 'hope', 'gaze', 'countenance', 'pity', 'power', 'lover', 'moment', 'direction', 'street', 'hat', 'head', 'art', 'commerce', 'days', 'interview', 'apothecary', 'rue', 'royale', 'friend', 'shop', 'minutes', 'errand']","[{'lover': ['disappointed'], 'minutes': ['few'], 'errand': ['short']}, {'lover': ['disappointed'], 'minutes': ['few'], 'errand': ['short']}, {'lover': ['disappointed'], 'minutes': ['few'], 'errand': ['short']}]",6.081521856787794
187,00000015.txt,"""'sieur frowenfel',"" said aurora, as he raised his hat for good-day,
""you din come home yet.",['good'],"['sieur', 'hat', 'day']",[{'day': ['good']}],8.511584430753418
